"","tb2.Sample_Name.i.","TP","FP","FN","P","R","F1","tb2.type.i.","tb2.Accession.i.","rpm_type","platform"
"1","NC",0,927,0,0,NA,NA,"DNA","HRR1209919","kmer","RpNGS"
"2","NC",0,133,0,0,NA,NA,"RNA","HRR1209920","kmer","RpNGS"
"3","S1",8,417,2,0.0188235294117647,0.8,0.0367816091954023,"DNA","HRR1209921","kmer","RpNGS"
"4","S1",5,99,0,0.0480769230769231,1,0.0917431192660551,"RNA","HRR1209922","kmer","RpNGS"
"5","S10",5,1794,0,0.00277932184546971,1,0.00554323725055432,"DNA","HRR1209923","kmer","RpNGS"
"6","S10",1,158,0,0.00628930817610063,1,0.0125,"RNA","HRR1209924","kmer","RpNGS"
"7","S11",6,1008,1,0.00591715976331361,0.857142857142857,0.0117531831537708,"DNA","HRR1209925","kmer","RpNGS"
"8","S11",0,129,0,0,NA,NA,"RNA","HRR1209926","kmer","RpNGS"
"9","S12",5,1096,2,0.00454132606721163,0.714285714285714,0.00902527075812274,"DNA","HRR1209927","kmer","RpNGS"
"10","S12",0,73,0,0,NA,NA,"RNA","HRR1209928","kmer","RpNGS"
"11","S13",0,702,0,0,NA,NA,"DNA","HRR1209929","kmer","RpNGS"
"12","S13",0,63,0,0,NA,NA,"RNA","HRR1209930","kmer","RpNGS"
"13","S2",8,518,2,0.0152091254752852,0.8,0.0298507462686567,"DNA","HRR1209931","kmer","RpNGS"
"14","S2",5,108,0,0.0442477876106195,1,0.0847457627118644,"RNA","HRR1209932","kmer","RpNGS"
"15","S3",2,625,2,0.00318979266347687,0.5,0.0063391442155309,"DNA","HRR1209933","kmer","RpNGS"
"16","S3",4,114,0,0.0338983050847458,1,0.0655737704918033,"RNA","HRR1209934","kmer","RpNGS"
"17","S4",2,360,2,0.00552486187845304,0.5,0.0109289617486339,"DNA","HRR1209935","kmer","RpNGS"
"18","S4",4,66,0,0.0571428571428571,1,0.108108108108108,"RNA","HRR1209936","kmer","RpNGS"
"19","S5",3,861,1,0.00347222222222222,0.75,0.00691244239631336,"DNA","HRR1209937","kmer","RpNGS"
"20","S5",4,92,0,0.0416666666666667,1,0.08,"RNA","HRR1209938","kmer","RpNGS"
"21","S6",2,1154,2,0.00173010380622837,0.5,0.00344827586206897,"DNA","HRR1209939","kmer","RpNGS"
"22","S6",4,421,0,0.00941176470588235,1,0.0186480186480186,"RNA","HRR1209940","kmer","RpNGS"
"23","S7",3,780,1,0.00383141762452107,0.75,0.00762388818297332,"DNA","HRR1209941","kmer","RpNGS"
"24","S7",4,48,0,0.0769230769230769,1,0.142857142857143,"RNA","HRR1209942","kmer","RpNGS"
"25","S8",3,507,1,0.00588235294117647,0.75,0.0116731517509728,"DNA","HRR1209943","kmer","RpNGS"
"26","S8",3,310,1,0.00958466453674121,0.75,0.0189274447949527,"RNA","HRR1209944","kmer","RpNGS"
