sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
CHRF0094_1,1747,Cutibacterium,Cutibacterium acnes,,15490.0,75032.5,,17257.0,83591.7,
CHRF0094_1,1523415,Sphingomonas,Sphingomonas sp. AAP5,,6.0,29.0636,,2.0,9.6879,
CHRF0094_1,1313,Streptococcus,Streptococcus pneumoniae,,189.0,915.503,,863.0,4180.31,
CHRF0094_1,1979527,Corynebacterium,Corynebacterium kefirresidentii,,2532.0,12264.8,,18.0,87.1907,
CHRF0094_1,76775,Malassezia,Malassezia restricta,,2167.0,10496.8,,746.0,3613.57,
CHRF0094_1,1292,Staphylococcus,Staphylococcus warneri,,3.0,14.5318,,5.0,24.2196,
CHRF0094_1,28037,Streptococcus,Streptococcus mitis,,254.0,1230.36,,20.0,96.8786,
CHRF0094_1,147802,Lactobacillus,Lactobacillus iners,,96.0,465.017,,15.0,72.6589,
CHRF0094_1,1270,Micrococcus,Micrococcus luteus,,1498.0,7256.21,,145.0,702.37,
CHRF0094_1,1282,Staphylococcus,Staphylococcus epidermidis,,3838.0,18591.0,,375.0,1816.47,
CHRF0094_1,28901,Salmonella,Salmonella enterica,,8.0,38.7514,,53.0,256.728,
CHRF0094_1,76773,Malassezia,Malassezia globosa,,3359.0,16270.8,,599.0,2901.51,
CHRF0094_1,1303,Streptococcus,Streptococcus oralis,,35.0,169.538,,29.0,140.474,
CHRF0094_1,37124,Alphavirus,Chikungunya virus,,130197.0,630665.0,,130180.0,630583.0,
CHRF0094_1,562,Escherichia,Escherichia coli,,9554.0,46278.9,,1288.0,6238.98,
CHRF0094_1,28526,Solanum,Solanum pennellii,,8939.0,43299.9,,0,0,
CHRF0094_1,77133,"",uncultured bacterium,,1374.0,6655.56,,158.0,765.341,
CHRF0094_1,442302,Picobirnavirus,Porcine picobirnavirus,,17.0,82.3468,,0,0,
CHRF0002_1,1747,Cutibacterium,Cutibacterium acnes,,1460.0,1460.0,,1525.0,1525.0,
CHRF0002_1,28037,Streptococcus,Streptococcus mitis,,40.0,40.0,,8948.0,8948.01,
CHRF0002_1,442302,Picobirnavirus,Porcine picobirnavirus,,139.0,139.0,,0,0,
CHRF0002_1,1979527,Corynebacterium,Corynebacterium kefirresidentii,,42.0,42.0,,2.0,2.0,
CHRF0002_1,562,Escherichia,Escherichia coli,,5787.0,5787.01,,579.0,579.001,
CHRF0002_1,1313,Streptococcus,Streptococcus pneumoniae,,967039.0,967040.0,,799220.0,799221.0,
CHRF0002_1,1523415,Sphingomonas,Sphingomonas sp. AAP5,,292.0,292.0,,2.0,2.0,
CHRF0002_1,77133,"",uncultured bacterium,,889.0,889.001,,6287.0,6287.01,
CHRF0002_1,28526,Solanum,Solanum pennellii,,5604.0,5604.01,,0,0,
CHRF0002_1,28901,Salmonella,Salmonella enterica,,30.0,30.0,,15.0,15.0,
CHRF0002_1,76775,Malassezia,Malassezia restricta,,75.0,75.0001,,11.0,11.0,
CHRF0002_1,76773,Malassezia,Malassezia globosa,,140.0,140.0,,31.0,31.0,
CHRF0002_1,1282,Staphylococcus,Staphylococcus epidermidis,,5.0,5.0,,3.0,3.0,
CHRF0002_1,1270,Micrococcus,Micrococcus luteus,,29.0,29.0,,9.0,9.0,
CHRF0002_1,1303,Streptococcus,Streptococcus oralis,,15.0,15.0,,20181.0,20181.0,
CHRF0002_1,147802,Lactobacillus,Lactobacillus iners,,2296.0,2296.0,,14.0,14.0,
CHRF0002_1,1292,Staphylococcus,Staphylococcus warneri,,258.0,258.0,,3.0,3.0,
CHRF0000_1,1313,Streptococcus,Streptococcus pneumoniae,,67.0,857.293,,618.0,7907.57,
CHRF0000_1,39478,Streptomyces,Streptomyces laurentii,,1373.0,17568.1,,0,0,
CHRF0000_1,28901,Salmonella,Salmonella enterica,,21380.0,273566.0,,220.0,2814.99,
CHRF0000_1,76773,Malassezia,Malassezia globosa,,1743.0,22302.4,,206.0,2635.86,
CHRF0000_1,1292,Staphylococcus,Staphylococcus warneri,,7.0,89.5679,,5.0,63.9771,
CHRF0000_1,442302,Picobirnavirus,Porcine picobirnavirus,,74.0,946.861,,0,0,
CHRF0000_1,1747,Cutibacterium,Cutibacterium acnes,,3576.0,45756.4,,3645.0,46639.3,
CHRF0000_1,76775,Malassezia,Malassezia restricta,,285.0,3646.69,,68.0,870.088,
CHRF0000_1,1270,Micrococcus,Micrococcus luteus,,51.0,652.566,,16.0,204.727,
CHRF0000_1,28526,Solanum,Solanum pennellii,,22653.0,289855.0,,0,0,
CHRF0000_1,147802,Lactobacillus,Lactobacillus iners,,159.0,2034.47,,18.0,230.317,
CHRF0000_1,1282,Staphylococcus,Staphylococcus epidermidis,,883.0,11298.4,,79.0,1010.84,
CHRF0000_1,1523415,Sphingomonas,Sphingomonas sp. AAP5,,2.0,25.5908,,0,0,
CHRF0000_1,562,Escherichia,Escherichia coli,,1886.0,24132.2,,1656.0,21189.2,
CHRF0000_1,1303,Streptococcus,Streptococcus oralis,,1166.0,14919.5,,15.0,191.931,
CHRF0000_1,77133,"",uncultured bacterium,,2653.0,33946.2,,190.0,2431.13,
CHRF0000_1,1979527,Corynebacterium,Corynebacterium kefirresidentii,,6.0,76.7725,,0,0,
CHRF0000_1,28037,Streptococcus,Streptococcus mitis,,2115.0,27062.3,,52.0,665.362,
Background: None
