"","Sample_1","Sample_2","Sample_3"
"Chikungunya virus",0,0,50506
"Corynebacterium kefirresidentii",0,0,119
"Cutibacterium acnes",3332,1297,13227
"Escherichia coli",11161,657,3304
"Lactobacillus iners",197,118,136
"Malassezia restricta",1512,160,3749
"Micrococcus luteus",248,0,717
"Salmonella enterica",2124,183,1826
"Sphingomonas sp. AAP5",0,117,0
"Staphylococcus epidermidis",140,21,617
"Streptococcus mitis",62,1945,155
"Streptococcus oralis",18,1314,185
"Streptococcus pneumoniae",882,728275,0
