species,中文名字
Candida albicans,白色念珠菌
Haemophilus influenzae,流感嗜血杆菌
Haemophilus parainfluenzae,副流感嗜血杆菌
Bocaparvovirus primate1,
Human mastadenovirus C,人类哺乳动物腺病毒
Streptococcus pneumoniae,肺炎链球菌
Abiotrophia defectiva,软弱贫养菌
Achromobacter xylosoxidans,木糖氧化无色杆菌
Acinetobacter baumannii,鲍曼不动杆菌
Actinomadura madurae,马杜拉放线菌
Actinomyces gerencseriae,戈氏放线菌
Actinomyces israelii,以色列放线菌
Actinotignum schaalii,
Aerococcus sanguinicola,栖血气球菌
Aerococcus urinae,脲气球菌
Aeromonas caviae,豚鼠气单胞菌
Aeromonas hydrophila,嗜水气单胞菌
Aeromonas veronii,维氏气单胞菌
Aggregatibacter actinomycetemcomitans,伴放线凝聚杆菌
Aggregatibacter aphrophilus,嗜沫凝聚杆菌
Agrobacterium tumefaciens,根癌土壤杆菌
Anaerococcus prevotii,普氏厌氧球菌
Anaplasma phagocytophilum,嗜吞噬细胞无浆体
Arcanobacterium haemolyticum,溶血隐秘杆菌
Bacillus anthracis,炭疽芽胞杆菌
Bacillus cereus,蜡样芽胞杆菌
Bacillus licheniformis,地衣芽胞杆菌
Bartonella bacilliformis,杆菌状巴尔通氏体
Bartonella clarridgeiae,克氏巴尔通氏体
Bartonella grahamii,格雷范姆巴尔通氏体
Bartonella henselae,汉塞巴尔通氏体
Bartonella quintana,五日热巴尔通氏体
Bordetella bronchiseptica,支气管败血鲍特菌
Bordetella parapertussis,副百日咳鲍特菌
Bordetella pertussis,百日咳鲍特菌
Borrelia duttonii,中南非回归热疏螺旋体
Borrelia hermsii,西北美洲回归热疏螺旋体
Borrelia miyamotoi,0
Borrelia parkeri,西部美国回归热疏螺旋体
Borrelia recurrentis,回归热线螺旋体
Borrelia turicatae,西南美国回归热疏螺旋体
Borreliella burgdorferi,伯氏疏螺旋体
Brachyspira hyodysenteriae,猪痢疾短螺旋体
Brevibacillus brevis,短短芽胞杆菌
Brucella abortus,牛布鲁氏菌
Brucella canis,犬布鲁氏菌
Brucella melitensis,羊布鲁氏菌
Brucella suis,猪种布鲁氏菌
Burkholderia cenocepacia,
Burkholderia cepacia,洋葱伯克氏菌
Burkholderia mallei,鼻疽伯克氏菌
Burkholderia pseudomallei,类鼻疽伯克氏菌
Campylobacter coli,结肠弯曲杆菌
Campylobacter curvus,曲形弯曲菌
Campylobacter fetus,胎儿弯曲菌
Campylobacter jejuni,空肠弯曲菌
Campylobacter lari,红嘴鸥弯曲菌
Cardiobacterium hominis,人心杆菌
Chlamydia pneumoniae,肺炎衣原体
Chlamydia psittaci,鹦鹉热衣原体
Chlamydia trachomatis,沙眼衣原体
Citrobacter freundii,弗劳地枸橼酸杆菌
Clostridioides difficile,艰难梭菌
Clostridium botulinum,肉毒梭菌
Clostridium perfringens,产气荚膜梭菌
Clostridium septicum,败毒梭菌
Clostridium tetani,破伤风梭菌
Corynebacterium diphtheriae,白喉棒状杆菌
Corynebacterium minutissimum,微细棒状杆菌
Corynebacterium striatum,纹带棒状杆菌
Corynebacterium ulcerans,溃疡棒状杆菌
Coxiella burnetii,贝纳柯克斯体
Cronobacter sakazakii,阪崎克罗诺杆菌
Cronobacter turicensis,苏黎世克罗诺杆菌
Edwardsiella tarda,迟钝爱德华氏菌
Ehrlichia chaffeensis,查菲埃立克体
Ehrlichia muris,0
Eikenella corrodens,啮蚀艾肯氏菌
Elizabethkingia anophelis,按蚊伊丽莎白菌
Elizabethkingia meningoseptica,脑膜败血伊丽莎白菌
Enterobacter cloacae,阴沟肠杆菌
Enterococcus avium,鸟肠球菌
Enterococcus faecalis,粪肠球菌
Enterococcus faecium,屎肠球菌
Enterococcus gallinarum,鹑鸡肠球菌
Erysipelothrix rhusiopathiae,猪红斑丹毒丝菌
Escherichia coli,大肠埃希菌
Finegoldia magna,大芬戈尔德菌
Francisella tularensis,土拉热弗朗西斯氏菌
Fusobacterium necrophorum,坏死梭杆菌
Fusobacterium nucleatum,具核梭杆菌
Gardnerella vaginalis,阴道加德纳菌
Haemophilus ducreyi,杜克雷嗜血杆菌
Haemophilus influenzae,流感嗜血杆菌
Haemophilus parainfluenzae,副流感嗜血杆菌
Helicobacter pylori,幽门螺杆菌
Kingella denitrificans,0
Kingella kingae,金氏金氏菌
