Chip_id,Sample_id,Extracted_NAC,Adaptor,library_NAC,Rawfastq_id
FT100045316,lifegen202400089,0,89,0,FT100045316_L10_89.fq.gz
FT100045316,lifegen202400091,0,91,0,FT100045316_L10_91.fq.gz
FT100045316,lifegen202400092,0,92,0,FT100045316_L10_92.fq.gz
FT100045316,lifegen202400093,0,93,0,FT100045316_L10_93.fq.gz
FT100054769,lifegen202400043,0,43,0,FT100054769_L0_43.fq.gz
FT100054769,lifegen202400044,0,44,0,FT100054769_L0_44.fq.gz
FT100054769,lifegen202400045,0,45,0,FT100054769_L0_45.fq.gz
FT100054769,lifegen202400046,0,46,0,FT100054769_L0_46.fq.gz
FT100055231,lifegen202400095,0,95,0,FT100055231_L0_95.fq.gz
FT100055231,lifegen202400096,0,96,0,FT100055231_L0_96.fq.gz
FT100055231,lifegen202400097,0,97,0,FT100055231_L0_97.fq.gz
FT100055231,lifegen202400099,0,99,0,FT100055231_L0_99.fq.gz
