,taxonomy_id,Perct,Reads,Specific_reads,Level,Taxa_names,species,Kingdom,Gram+/-,zscore,菌属中文名,菌种中文名,名词解释
1,470,8.67633789130284E-05,65,65,S,Acinetobacter baumannii,Acinetobacter baumannii,Bacteria,G-,,不动杆菌属,鲍曼不动杆菌,广泛分布于土壤，水和健康人的皮肤，咽，结膜，唾液，肠胃道，阴道分泌物中，有机会致病性，是导致医院感染的常见菌之一。该菌粘附性强，易粘附在各类医用材料上，常侵犯免疫功能受损宿主（免疫功能受抑制，术后，呼吸机相关性肺炎，烧伤，ICU患者，装置相关感染及营养不良的患者），感染部位还包括脑膜炎（神经外科术后并发感染，大多与侵入性操作有关，如颅脑手术，脑室外引流术，腰大池引流等），肝脓肿，心内膜炎，脑脓肿。血流感染通常是导管相关性血流感染，或继发于院内获得性肺炎或呼吸机相关性肺炎的序列感染。
2,562,0.00087697753762861,657,657,S,Escherichia coli,Escherichia coli,Bacteria,G-,,埃希菌属,大肠埃希菌,是临床上最常见，最重要的埃希菌属菌种，革兰阴性，兼性厌氧，是人类肠道中重要的正常菌群。有机会致病性，能引起免疫力下降宿主的肠道外感染，某些血清型的大肠埃希菌能导致人类肠胃炎。该菌致病物质为黏附素，外毒素，内毒素等。多数在肠道内不致病，但移位至肠道外组织或器官则可引起感染，多为内源性感染，一般导致败血症，新生儿脑膜炎（非内源性），泌尿道感染（多为尿路致病性大肠埃希菌导致）；某些血清型可导致人类胃肠炎，为外源性感染，包括肠产毒性大肠艾希菌，肠侵袭性大肠埃希菌，肠致病性大肠埃希菌，肠出血性大肠埃希菌，肠聚集性大肠埃希菌。
3,573,0.000248276745812666,186,186,S,Klebsiella pneumoniae,Klebsiella pneumoniae,Bacteria,G-,,克雷伯菌属,肺炎克雷伯菌,广泛存在于自然界以及人类的呼吸道和肠道中，为条件致病菌，亦是院内感染的重要致病菌，可引起呼吸道、泌尿生殖系感染，创伤、败血症及腹泻。
4,584,6.00669546320966E-05,45,45,S,Proteus mirabilis,Proteus mirabilis,Bacteria,G-,,变形菌属,奇异杆菌,是仅次于大肠杆菌，引起泌尿系统感染的主要病原菌，肾结核和膀胱结石的形成可能与其有关。有的菌株还可引起脓毒症、食物中毒、腹膜炎、脑膜炎等。
5,645,2.13571394247454E-05,16,16,S,Aeromonas salmonicida,Aeromonas salmonicida,Bacteria,G-,,气单胞菌属,杀鲑气单胞菌,气单胞菌属菌种，是鲑科鱼类的重要致病菌，全球各地都有分布。
6,729,3.33705303511648E-05,25,25,S,Haemophilus parainfluenzae,Haemophilus parainfluenzae,Bacteria,G-,,嗜血杆菌属,副流感嗜血杆菌,副流感嗜血杆菌主要寄生在呼吸道，是引起下呼吸道感染的常见致病菌，并与许多感染性疾病如菌血症，脑膜炎，脓毒性关节炎等，人类是唯一的宿主，副流感嗜血杆菌是社区获得性肺炎和其他呼吸道感染的重要致病菌。
7,1255,1.46830333545125E-05,11,11,S,Pediococcus pentosaceus,Pediococcus pentosaceus,Bacteria,G+,,片球菌属,戊糖片球菌,片球菌属菌种，革兰阳性，兼性厌氧，从韩国泡菜中分离。
8,1280,0.000214906215461501,161,161,S,Staphylococcus aureus,Staphylococcus aureus,Bacteria,G+,,葡萄球菌属,金黄色葡萄球菌,金黄色葡萄球菌是广泛存在于自然界中的革兰氏阳性菌，有较强的毒力及侵袭力，可引起皮肤的浅表感染如疱疹、疥疮等；呼吸道感染如坏死性肺炎、鼻窦炎；中枢神经系统感染多见于术后脑膜炎或与菌血症、心内膜炎相关的脑膜炎或大脑炎；血流感染及由菌血症血行散播引起各器官的感染。
9,1282,2.80312454949784E-05,21,21,S,Staphylococcus epidermidis,Staphylococcus epidermidis,Bacteria,G+,,葡萄球菌属,表皮葡萄球菌,表皮葡萄球菌是人体皮肤和粘膜上定居的正常菌群之一，为人类机会致病菌，通常致病力很低、近几年来，随着留置静脉导管等侵袭性操作的增多，该菌可寄居在医疗设备上（如人工心脏瓣膜），引起术后感染及亚急性细菌性心内膜炎、腹膜炎、泌尿系感染、眼内炎、中耳炎及各类伤口等感染等，已成为医院感染的重要致病菌。
10,1302,8.67633789130284E-05,65,65,S,Streptococcus gordonii,Streptococcus gordonii,Bacteria,G+,,链球菌属,格氏链球菌,格氏链球菌，存在于人的口腔中，机会致病，可引起罕见的感染性心内膜炎。
11,1303,0.00175395507525722,1314,1314,S,Streptococcus oralis,Streptococcus oralis,Bacteria,G+,,链球菌属,口腔链球菌,口腔链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。
12,1304,7.47499879866091E-05,56,56,S,Streptococcus salivarius,Streptococcus salivarius,Bacteria,G+,,链球菌属,唾液链球菌,唾液链球菌，人类口腔正常寄居菌，有少见的机会致病性
13,1305,0.000146830333545125,110,110,S,Streptococcus sanguinis,Streptococcus sanguinis,Bacteria,G+,,链球菌属,血链球菌,血链球菌，人类口腔正常寄居菌，有少见的机会致病性，可导致心内膜炎。
14,1307,0.000475196352200586,356,356,S,Streptococcus suis,Streptococcus suis,Bacteria,G+,,链球菌属,猪链球菌,猪链球菌能引起人畜共患的急性传染病，主要通过伤口感染。部分菌株可以引起人类感染，造成细菌性脑炎或中毒样休克综合征。
15,1308,0.00173393275704652,1299,1299,S,Streptococcus thermophilus,Streptococcus thermophilus,Bacteria,G+,,链球菌属,嗜热链球菌,目前无致病性报道。
16,1309,3.20357091371182E-05,24,24,S,Streptococcus mutans,Streptococcus mutans,Bacteria,G+,,链球菌属,变异链球菌,变异链球菌是人类主要的致龋微生物，其在空腔中定值与龋病密切相关。
17,1310,3.20357091371182E-05,24,24,S,Streptococcus sobrinus,Streptococcus sobrinus,Bacteria,G+,,链球菌属,表兄链球菌,表兄链球菌为口腔定植菌，目前无致病性报道。
18,1311,0.000858290040631958,643,643,S,Streptococcus agalactiae,Streptococcus agalactiae,Bacteria,G+,,链球菌属,无乳链球菌,无乳链球菌是造成孕妇产褥期脓毒血症和新生儿脑膜炎的重要原因。该菌寄生在产妇生殖道，可致婴儿感染，也可引起产后感染、菌血症、心内膜炎、皮肤和软组织感染及骨髓炎。
19,1313,0.972116919659781,728275,728275,S,Streptococcus pneumoniae,Streptococcus pneumoniae,Bacteria,G+,,链球菌属,肺炎链球菌,肺炎链球菌为口腔和鼻咽部正常菌群，一般不致病。当机体抵抗力下降时，可引起大叶性肺炎或支气管肺炎，还可引起化脓性脑膜炎、中耳炎、乳突炎、鼻窦炎、脑脓肿、菌血症和心内膜炎等。
20,1314,0.000682093640377808,511,511,S,Streptococcus pyogenes,Streptococcus pyogenes,Bacteria,G+,,链球菌属,化脓链球菌,化脓链球菌是引起化脓性感染的主要病原菌，致病力最强，可引起痈、蜂窝织炎、急性咽炎、丹毒、脓胞疮、猩红热、医源性创口感染和产后感染等。此外，其感染后也可引起急性、慢性风湿热和急性肾小球肾炎等严重变态反应性并发症
21,1318,4.80535637056773E-05,36,36,S,Streptococcus parasanguinis,Streptococcus parasanguinis,Bacteria,G+,,链球菌属,副血链球菌,副血链球菌，有较罕见的机会致病性，可导致心内膜炎、肺部感染等。
22,1326,1.46830333545125E-05,11,11,S,Streptococcus acidominimus,Streptococcus acidominimus,Bacteria,G+,,链球菌属,少酸链球菌,少酸链球菌常为动物致病性链球菌，罕见引起人类感染，导致肺炎，心包炎，脑膜炎，中耳炎和脑脓肿。
23,1328,0.00017619640025415,132,132,S,Streptococcus anginosus,Streptococcus anginosus,Bacteria,G+,,链球菌属,咽峡炎链球菌,咽峡炎链球菌是星座链球菌中一种。广泛分布于外部环境及人和动物的体表，口鼻腔和肠道，可引起心内膜炎、肺炎、菌血症、腹腔或皮肤感染等。
24,1334,0.000290991024662157,218,218,S,Streptococcus dysgalactiae,Streptococcus dysgalactiae,Bacteria,G+,,链球菌属,停乳链球菌,停乳链球菌可引起菌血症、心内膜炎、脑膜炎、脓毒性关节炎、呼吸道和皮肤感染等疾病。
25,1335,0.000965075737755685,723,723,S,Streptococcus equinus,Streptococcus equinus,Bacteria,NA,,NA,NA,NA
26,1336,8.94330213411216E-05,67,67,S,Streptococcus equi,Streptococcus equi,Bacteria,G+,,链球菌属,马链球菌,马链球菌是一种条件致病菌，可从伤口感染和菌血症标本中分离。
27,1338,7.47499879866091E-05,56,56,S,Streptococcus intermedius,Streptococcus intermedius,Bacteria,G+,,链球菌属,中间链球菌,中间链球菌是星座链球菌中一种。广泛分布于外部环境及人和动物的体表，口鼻腔和肠道，可引起心内膜炎、肺炎、菌血症、腹腔或皮肤感染等。
28,1341,7.20803455585159E-05,54,54,S,Streptococcus ratti,Streptococcus ratti,Bacteria,NA,,NA,NA,NA
29,1345,4.13794576354443E-05,31,31,S,Streptococcus ferus,Streptococcus ferus,Bacteria,G+,,链球菌属,野生链球菌,野生链球菌无人类致病性报道。
30,1346,0.000141491048688939,106,106,S,Streptococcus iniae,Streptococcus iniae,Bacteria,G+,,链球菌属,海豚链球菌,海豚链球菌无人类致病性报道。
31,1348,2.13571394247454E-05,16,16,S,Streptococcus parauberis,Streptococcus parauberis,Bacteria,G+,,链球菌属,副乳房链球菌,副乳房链球菌是鱼类和牛的病原体。可引起人类感染，曾报道引起创伤后感染性眼内炎。
32,1349,2.00223182106989E-05,15,15,S,Streptococcus uberis,Streptococcus uberis,Bacteria,G+,,链球菌属,乳房链球菌,乳房链球菌，是导致牛的乳腺炎的病原菌。对人类具有极罕见的机会致病性，只有少数的伤口感染的病例报告。
33,1351,6.27365970601898E-05,47,47,S,Enterococcus faecalis,Enterococcus faecalis,Bacteria,G+,,肠球菌属,粪肠球菌,肠球菌属模式菌种，革兰阳性，兼性厌氧，是人类肠道，口腔等部位的正常寄居菌。具有致病性，是导致医院感染的重要病原菌，肠球菌临床分离菌中粪肠球菌占85%095%。感染最常见为尿路感染，医院内尿路感染仅次于大肠埃希菌，一般表现为膀胱炎，肾盂肾炎，少数表现为肾周围脓肿；其次为腹腔盆腔感染，败血症，心内膜炎等。
34,1352,9.21026637692148E-05,69,69,S,Enterococcus faecium,Enterococcus faecium,Bacteria,G+,,肠球菌属,屎肠球菌,是革兰阳性，兼性厌氧菌，是人体肠道的正常菌种，具有益生作用，同时具有机会致病性。肠球菌临床分离菌中屎肠球菌占5010%，可导致尿路感染，腹腔盆腔感染，败血症等。
35,1358,4.00446364213977E-05,30,30,S,Lactococcus lactis,Lactococcus lactis,Bacteria,G+,,乳球菌属,乳酸乳球菌,"革兰氏阳性,广泛用于生产酪浆和奶酪。"
36,1392,0.000170857115397964,128,128,S,Bacillus anthracis,Bacillus anthracis,Bacteria,G+,,芽胞杆菌属,炭疽芽胞杆菌,炭疽芽胞杆菌主要引起食草动物炭疽病，也可传染给人和肉食动物（人因食用或解除炭疽病的动物及畜产品而发生感染），人类以皮肤炭疽较多，也可引起肠炭疽，若引起败血症，可继发炭疽性脑膜炎。该菌具有高致病性，是世界卫生组织确立的必须通报的动物疫病。
37,1396,9.87767698394477E-05,74,74,S,Bacillus cereus,Bacillus cereus,Bacteria,G+,,芽胞杆菌属,蜡样芽胞杆菌,蜡样芽胞杆菌引起的细菌性食物中毒比较常见。该菌进入体内后产生耐热和不耐热两种毒素，分别导致呕吐型和腹泻型两类症状。血流感染少见，可并发混合感染包括手术切口感染或肿瘤坏死继发感染；脑膜炎，脑脓肿少见，可由于耳炎，乳突炎，神经外科手术，脑室腹腔分流术并发；眼部感染为创伤后眼内炎的首要致病菌，也可导致角膜炎，眶周脓肿，结膜炎和泪囊炎；心内膜炎为静脉注射吸毒人群罕见的并发症，三尖瓣感染性心内膜炎多为惰性病程；软组织感染为罕见筋膜炎；肺炎为免疫功能受损宿主出现的罕见病原菌，临床表现为炭疽肺炎。
38,1404,1.46830333545125E-05,11,11,S,Priestia megaterium,Priestia megaterium,Bacteria,NA,,NA,NA,NA
39,1423,9.21026637692148E-05,69,69,S,Bacillus subtilis,Bacillus subtilis,Bacteria,G+,,芽胞杆菌属,枯草芽胞杆菌,枯草芽胞杆菌广泛存在于土壤，尘埃和环境中，为条件致病菌，可致呼吸道感染，心内膜炎及菌血症，脓毒血症。
40,1428,8.1424094056842E-05,61,61,S,Bacillus thuringiensis,Bacillus thuringiensis,Bacteria,G+,,芽孢杆菌属,苏云金芽孢杆菌,0
41,1452,0.000513906167407937,385,385,S,Bacillus atrophaeus,Bacillus atrophaeus,Bacteria,G+,,芽孢杆菌属,萎缩芽孢杆菌,0
